SetName,Department,Floor
Stryker Drill, Reamer & Saw Set,ORTHO,3rd Floor
Stryker Pneumatic System Set Ortho,ORTHO,3rd Floor
T.K.R. Set,ORTHO,3rd Floor
J. J. International Inst. Set,ORTHO,3rd Floor
Bowl Pack,OTHER,3rd Floor


A.V.Fistula Extras Set,GENERAL,5th Floor
A.V. Fistula Micro Set,GENERAL,5th Floor
Advance Medical System Bipolar Forcep Set,GENERAL,5th Floor
Aesculap Mastoid Retractor Set,GENERAL,5th Floor
Basic Set,GENERAL,5th Floor
Commando Set For Head & Neck,GENERAL,5th Floor
Female Dilator Set,GENERAL,5th Floor
Fine Instrument Set For Plastic Surgery,GENERAL,5th Floor
Hand Surgery Set For Plastic Surgery,GENERAL,5th Floor
Koshima Superfine Micro Instrument Set (Medicon),GENERAL,5th Floor
Laparoscopic General Instrument Set,GENERAL,5th Floor
Laparotomy Set Extras,GENERAL,5th Floor
Liposuction Instrument Set (Medicon),GENERAL,5th Floor
Long Instrument Set For Esophagectomy,GENERAL,5th Floor
Major Basic Set,GENERAL,5th Floor
Manju Surgicraft Instrument Set,GENERAL,5th Floor
Meenu Surgical Micro Instrument Set,GENERAL,5th Floor
Micro Fine Instrument Set For Plastic Surgery,GENERAL,5th Floor
Micro Fine Instrument & Clamp Set,GENERAL,5th Floor
Micro Instrument Set For General Surgery,GENERAL,5th Floor
Minor Surgery Set,GENERAL,5th Floor
Paediatric Basic Set,GENERAL,5th Floor
Paed. Micro Inst. Set (General) For Dr. Gautam,GENERAL,5th Floor
Paed. Minor Surgery Set (General) For Dr. Gautam,GENERAL,5th Floor
Pelvic Tray,GENERAL,5th Floor
Piles Extras Set,GENERAL,5th Floor
Plastic Surgery Set,GENERAL,5th Floor
Reconstruction Surgery Set,GENERAL,5th Floor
Rib Resection Set,GENERAL,5th Floor
S & T Instrument Set,GENERAL,5th Floor
Scanlan Thoracoscopic Instrument Set,GENERAL,5th Floor
Skin Grafting Set,GENERAL,5th Floor
Stryker Multipurpose Drill System (NEW),GENERAL,5th Floor
Ortho Micro Drill System (GENERAL),GENERAL,5th Floor
Thompson Retractor Set,GENERAL,5th Floor
Thompson Retractor Set For Liver Surgery (Donor Set),GENERAL,5th Floor
Thompson Retractor Set For Liver Surgery (Recipient Set),GENERAL,5th Floor
Thoracotomy Set,GENERAL,5th Floor
Tracheostomy Set,GENERAL,5th Floor
Vascular Access Set,GENERAL,5th Floor
Abdominoplasty Set,COSMETOLOGY,5th Floor
Blepheroplasty Set (Cosmetology OT),COSMETOLOGY,5th Floor
Cartilage Harvesting Set Nagata (Cosmetology OT),COSMETOLOGY,5th Floor
Ear Reconstruction Set,COSMETOLOGY,5th Floor
Face & Forehead Lift Set,COSMETOLOGY,5th Floor
Mammaplasty Set (Cosmetology OT Set),COSMETOLOGY,5th Floor
Rhinoplasty Gubisch Set,COSMETOLOGY,5th Floor
Abdohysterectomy Set,GYNAECOLOGY,5th Floor
D & C Set,GYNAECOLOGY,5th Floor
Gynaec Instrument Set,GYNAECOLOGY,5th Floor
K/S Gynaec Hysteroscopy Set,GYNAECOLOGY,5th Floor
Vaginal Hysterectomy Set,GYNAECOLOGY,5th Floor
Liver Donor Set,LIVER,5th Floor
Liver Recipient Set,LIVER,5th Floor
Liver Surgery Set,LIVER,5th Floor
Liver Re-Exploration Set,LIVER,5th Floor
Benching Set,LIVER,5th Floor
Thompson Retractor Set For Liver Surgery (Donor Set),LIVER,5th Floor
Thompson Retractor Set For Liver Surgery (Recipient Set),LIVER,5th Floor
Thompson Retractor Set For Liver Surgery (Donor Set) (Radiolucent Blade),LIVER,5th Floor
Thompson Retractor Set For Liver Surgery (Recipient Set) (Radiolucent Blade),LIVER,5th Floor
Monopolar & Bipolar Forceps Set For Liver Transplant (Donor),LIVER,5th Floor
Monopolar & Bipolar Forceps Set For Liver Transplant (Recipient),LIVER,5th Floor
Micro Surgery Set For Liver Transplant (Donor),LIVER,5th Floor
Micro Surgery Set For Liver Transplant (Recipient),LIVER,5th Floor
Micro Instruments Set For Liver Surgery,LIVER,5th Floor
Extra Inst. Set For Liver Surgery,LIVER,5th Floor
Clamp Set For Liver Transplant (Donor) New,LIVER,5th Floor
Clamp Set For Liver Transplant (Recipient) New,LIVER,5th Floor
Dental Elevator & Molar Extractor Set,DENTAL,5th Floor
Dental Extraction Set (Upper Teeth),DENTAL,5th Floor
Bein Air System For ENT,ENT,5th Floor
Tympanoplasty Set,ENT,5th Floor
Ear Major Set,ENT,5th Floor
Facio Maxillary Fracture Set,ENT,5th Floor
Fine Instrument Set For ENT OPD,ENT,5th Floor
K/S DL Scopy Set For Phono Surgery,ENT,5th Floor
K/S DL Scopy Set,ENT,5th Floor
K/S Fess ENT Set,ENT,5th Floor
K/S Micro Drill & Saw System,ENT,5th Floor
K/S Cochlear Implant Instruments Set,ENT,5th Floor
NEW MED EL Cochlear Implant Set (INST.14),ENT,5th Floor
Laryngeal Instrument Set,ENT,5th Floor
ENT Stand For Dr. Badhwar,ENT,5th Floor
Rhinoplasty Set,ENT,5th Floor
Septo Rhinoplasty Instrument Set,ENT,5th Floor
SMR Septoplasty Instrument Set,ENT,5th Floor
Stryker ENT Electrical Drill System,ENT,5th Floor
Stapedectomy Set ENT,ENT,5th Floor
Thyroid Set,ENT,5th Floor
Tonsillectomy Instrument Set,ENT,5th Floor
Avastin Injection Set,OPHTHALMOLOGY,5th Floor
Cataract Set Phaco,OPHTHALMOLOGY,5th Floor
Chalazian Set,OPHTHALMOLOGY,5th Floor
DCR Set,OPHTHALMOLOGY,5th Floor
ECCE Set,OPHTHALMOLOGY,5th Floor
Eye Enucleation Set,OPHTHALMOLOGY,5th Floor
Special Phaco Inst. Tray (Epsilon),OPHTHALMOLOGY,5th Floor
Intravitreal Injection Set,OPHTHALMOLOGY,5th Floor
Opthal Preparation Tray,OPHTHALMOLOGY,5th Floor
Phaco Set Indogerman,OPHTHALMOLOGY,5th Floor
Pyterium Set,OPHTHALMOLOGY,5th Floor
Tarsorrhaphy Set,OPHTHALMOLOGY,5th Floor
V.R. Set,OPHTHALMOLOGY,5th Floor
Vitrectomy Set,OPHTHALMOLOGY,5th Floor
Book Walter Retractor Set Codman/Kallelker,UROLOGY,5th Floor
Cystoscopy Set,UROLOGY,5th Floor
K/S Cystoscopy, TURP, VIU Instrument Set,UROLOGY,5th Floor
K/S P.C.N.L Instrument Set,UROLOGY,5th Floor
K/S URS Instrument Set,UROLOGY,5th Floor
Kidney Transplant Set (Donor),UROLOGY,5th Floor
Kidney Transplant Set (Recipient),UROLOGY,5th Floor
Trans Gender Set,UROLOGY,5th Floor
Turp Urology Inst. Set (R & Wolf),UROLOGY,5th Floor
K/S Bariatric Lap General Instrument Set,LAPAROSCOPY,5th Floor
K/S Gynaec Hysteroscopy Set,LAPAROSCOPY,5th Floor
K/S Lap Thoracoscopy Set,LAPAROSCOPY,5th Floor
K/S Mediastinoscopy Lap Set,LAPAROSCOPY,5th Floor
K/S Morcellator Set,LAPAROSCOPY,5th Floor
K/S Neonatal G Paediatric Bronchoscopy Instrument Set,LAPAROSCOPY,5th Floor
K/S Neonatal G Paediatric Urology Instrument Set,LAPAROSCOPY,5th Floor
K/S Neonatal Laproscopy Instrument Set,LAPAROSCOPY,5th Floor
K/S Paediatric Laproscopy Instrument Set,LAPAROSCOPY,5th Floor
K/S Rigid Bronchoscopy Set,LAPAROSCOPY,5th Floor
K/S Tracheoscopy & Bronchoscopy Set,LAPAROSCOPY,5th Floor
OM Surgical Laproscopy Instrument Set,LAPAROSCOPY,5th Floor
K/S Lap Set 5mm For Dr. Yuvraja,ROBOTIC,5th Floor
Si Robotic Surgery Instruments Set No.XI,ROBOTIC,5th Floor
Robotic Surgery Instruments Set No.,ROBOTIC,5th Floor
Robotic Surgery Extras Set,ROBOTIC,5th Floor
Robotic Telescope O deg / 30 deg,ROBOTIC,5th Floor
Robotic Endoscope Plus O deg / 30 deg,ROBOTIC,5th Floor
Inst. Set For Dr. Amol Ghalme,DR. PERSONAL,5th Floor
Inst. Set For Dr. Sameer Vora Personal (Plastic Surgery),DR. PERSONAL,5th Floor
Dr. Gursev's Personal Inst. Set,DR. PERSONAL,5th Floor
Dr. Rajesh Mistry Personal Inst. Set,DR. PERSONAL,5th Floor
Bowl Pack,OTHER,5th Floor
